epoch_s,name,response_time_ms,success
1776554249.297698,/collect,301.05,1
1776554246.917371,/collect,2885.71,1
1776554248.527837,/collect,1367.87,1
1776554247.551831,/collect,2350.71,1
1776554247.062610,/collect,2873.25,1
1776554249.166224,/collect,825.94,1
1776554245.723611,/collect,4292.63,1
1776554245.311074,/collect,4784.93,1
1776554246.807193,/collect,3319.69,1
1776554247.462861,/collect,2733.0,1
1776554247.877095,/collect,2346.15,1
1776554247.957061,/collect,2267.53,1
1776554247.496345,/collect,2825.61,1
1776554249.509444,/collect,866.18,1
1776554248.947265,/collect,2187.9,1
1776554249.451648,/collect,1758.54,1
1776554250.129330,/collect,1097.78,1
1776554249.596872,/collect,1695.59,1
1776554249.767612,/collect,1817.39,1
1776554249.977069,/collect,1622.11,1
1776554247.879838,/collect,3720.53,1
1776554249.943844,/collect,1781.79,1
1776554249.941334,/collect,1839.64,1
1776554248.338411,/collect,3492.7,1
1776554250.155876,/collect,1713.02,1
1776554249.745303,/collect,2138.92,1
1776554249.831651,/collect,2066.4,1
1776554250.458219,/collect,1671.44,1
1776554249.853389,/collect,2321.49,1
1776554250.896453,/collect,1398.8,1
1776554250.593632,/collect,1825.38,1
1776554250.538053,/collect,1986.51,1
1776554249.765363,/collect,2952.02,1
1776554250.997177,/collect,1739.99,1
1776554248.516562,/collect,4431.62,1
1776554250.475209,/collect,2541.63,1
1776554250.900120,/collect,2189.59,1
1776554252.185450,/collect,916.23,1
1776554250.693651,/collect,2479.96,1
1776554252.117103,/collect,1065.97,1
1776554251.479073,/collect,1706.83,1
1776554251.311060,/collect,1882.7,1
1776554250.601179,/collect,2700.96,1
1776554249.909050,/collect,3427.93,1
1776554252.344115,/collect,1138.88,1
1776554250.065908,/collect,3463.51,1
1776554251.855575,/collect,1736.38,1
1776554249.898169,/collect,3843.46,1
1776554252.660455,/collect,1161.62,1
1776554251.294052,/collect,2609.35,1
1776554250.178098,/collect,3962.99,1
1776554252.739537,/collect,1435.74,1
1776554251.045359,/collect,3165.56,1
1776554252.976011,/collect,1604.71,1
1776554249.649688,/collect,5074.38,1
1776554250.677406,/collect,4060.37,1
1776554251.360392,/collect,3379.08,1
1776554253.281353,/collect,1511.19,1
1776554252.648994,/collect,2143.89,1
1776554250.489336,/collect,4307.25,1
1776554250.752699,/collect,4050.02,1
1776554253.269865,/collect,1551.76,1
1776554250.937247,/collect,3886.03,1
1776554253.078382,/collect,1855.39,1
1776554253.659466,/collect,1365.89,1
1776554253.857641,/collect,1502.45,1
1776554253.832584,/collect,1646.63,1
1776554253.765401,/collect,1714.96,1
1776554252.986208,/collect,2540.0,1
1776554253.762057,/collect,1956.06,1
1776554252.278287,/collect,3440.69,1
1776554254.107002,/collect,1778.1,1
1776554254.292413,/collect,1593.67,1
1776554254.436912,/collect,1665.43,1
1776554252.329850,/collect,3811.85,1
1776554254.712912,/collect,1506.0,1
1776554255.452433,/collect,808.17,1
1776554252.533051,/collect,3789.27,1
1776554254.889307,/collect,1440.22,1
1776554255.665739,/collect,714.53,1
1776554253.440637,/collect,2971.62,1
1776554256.094164,/collect,455.51,1
1776554255.350176,/collect,1246.03,1
1776554254.855690,/collect,1747.56,1
1776554256.140139,/collect,585.56,1
1776554255.981630,/collect,748.4,1
1776554254.544110,/collect,2247.0,1
1776554253.843650,/collect,2959.06,1
1776554255.080117,/collect,1754.14,1
1776554253.900810,/collect,2997.42,1
1776554253.319641,/collect,3604.57,1
1776554253.458294,/collect,3470.79,1
1776554252.883065,/collect,4054.6,1
1776554254.358131,/collect,2744.06,1
1776554254.117640,/collect,3189.14,1
1776554255.194062,/collect,2113.72,1
1776554256.000472,/collect,1419.72,1
1776554255.790390,/collect,1640.15,1
1776554255.819187,/collect,1614.22,1
1776554254.974318,/collect,2523.91,1
