RAW_DATA | iomt-2824 | execution_time: 0.238927s | queueing_delay: 0.000676s
RAW_DATA | iomt-3647 | execution_time: 0.223482s | queueing_delay: 0.000739s
RAW_DATA | iomt-2824 | execution_time: 0.405690s | queueing_delay: 0.000734s
RAW_DATA | iomt-2127 | execution_time: 0.461066s | queueing_delay: 0.000762s
RAW_DATA | iomt-3546 | execution_time: 0.218676s | queueing_delay: 0.000817s
RAW_DATA | iomt-3647 | execution_time: 0.270490s | queueing_delay: 0.000778s
RAW_DATA | iomt-3546 | execution_time: 0.239403s | queueing_delay: 0.000660s
RAW_DATA | iomt-2824 | execution_time: 0.512598s | queueing_delay: 0.000707s
RAW_DATA | iomt-2127 | execution_time: 0.780977s | queueing_delay: 0.006412s
RAW_DATA | iomt-3647 | execution_time: 0.575352s | queueing_delay: 0.086887s
RAW_DATA | iomt-3647 | execution_time: 0.240724s | queueing_delay: 0.000705s
RAW_DATA | iomt-3546 | execution_time: 0.248370s | queueing_delay: 0.000699s
RAW_DATA | iomt-2824 | execution_time: 0.239520s | queueing_delay: 0.000690s
RAW_DATA | iomt-2127 | execution_time: 0.247588s | queueing_delay: 0.000591s
RAW_DATA | iomt-3647 | execution_time: 0.223472s | queueing_delay: 0.000681s
RAW_DATA | iomt-2824 | execution_time: 0.284064s | queueing_delay: 0.000908s
RAW_DATA | iomt-3546 | execution_time: 0.287584s | queueing_delay: 0.000784s
RAW_DATA | iomt-3647 | execution_time: 0.283272s | queueing_delay: 0.000819s
RAW_DATA | iomt-2127 | execution_time: 0.270358s | queueing_delay: 0.000576s
RAW_DATA | iomt-3546 | execution_time: 0.343029s | queueing_delay: 0.000710s
RAW_DATA | iomt-2824 | execution_time: 0.293688s | queueing_delay: 0.000672s
RAW_DATA | iomt-3647 | execution_time: 0.383255s | queueing_delay: 0.006345s
RAW_DATA | iomt-2127 | execution_time: 0.243887s | queueing_delay: 0.000604s
RAW_DATA | iomt-2824 | execution_time: 0.244768s | queueing_delay: 0.000671s
RAW_DATA | iomt-3546 | execution_time: 0.241864s | queueing_delay: 0.000704s
RAW_DATA | iomt-2127 | execution_time: 0.249265s | queueing_delay: 0.000659s
RAW_DATA | iomt-3647 | execution_time: 0.246293s | queueing_delay: 0.000847s
RAW_DATA | iomt-2824 | execution_time: 0.237712s | queueing_delay: 0.000896s
RAW_DATA | iomt-3546 | execution_time: 0.247751s | queueing_delay: 0.000782s
RAW_DATA | iomt-2127 | execution_time: 0.231084s | queueing_delay: 0.000719s
RAW_DATA | iomt-3647 | execution_time: 0.386255s | queueing_delay: 0.000769s
RAW_DATA | iomt-3546 | execution_time: 0.292771s | queueing_delay: 0.000576s
RAW_DATA | iomt-2824 | execution_time: 0.402118s | queueing_delay: 0.000768s
RAW_DATA | iomt-2127 | execution_time: 0.223125s | queueing_delay: 0.000621s
RAW_DATA | iomt-3546 | execution_time: 0.249355s | queueing_delay: 0.000618s
RAW_DATA | iomt-2824 | execution_time: 0.336455s | queueing_delay: 0.000749s
RAW_DATA | iomt-3647 | execution_time: 0.340855s | queueing_delay: 0.037653s
RAW_DATA | iomt-2127 | execution_time: 0.277865s | queueing_delay: 0.000614s
RAW_DATA | iomt-2824 | execution_time: 0.240851s | queueing_delay: 0.000721s
RAW_DATA | iomt-3546 | execution_time: 0.243908s | queueing_delay: 0.000776s
RAW_DATA | iomt-3647 | execution_time: 0.248460s | queueing_delay: 0.000754s
RAW_DATA | iomt-3546 | execution_time: 0.387896s | queueing_delay: 0.000688s
RAW_DATA | iomt-2127 | execution_time: 0.477835s | queueing_delay: 0.000850s
RAW_DATA | iomt-2824 | execution_time: 0.244287s | queueing_delay: 0.000783s
RAW_DATA | iomt-3647 | execution_time: 0.243894s | queueing_delay: 0.000684s
RAW_DATA | iomt-3546 | execution_time: 0.347233s | queueing_delay: 0.000568s
RAW_DATA | iomt-2127 | execution_time: 0.259966s | queueing_delay: 0.000652s
RAW_DATA | iomt-2824 | execution_time: 0.313224s | queueing_delay: 0.000734s
RAW_DATA | iomt-3647 | execution_time: 0.308392s | queueing_delay: 0.007702s
RAW_DATA | iomt-3546 | execution_time: 0.226585s | queueing_delay: 0.000713s
RAW_DATA | iomt-2824 | execution_time: 0.231637s | queueing_delay: 0.000731s
RAW_DATA | iomt-3647 | execution_time: 0.244430s | queueing_delay: 0.007574s
RAW_DATA | iomt-2127 | execution_time: 0.241740s | queueing_delay: 0.000699s
RAW_DATA | iomt-3546 | execution_time: 0.214377s | queueing_delay: 0.000640s
RAW_DATA | iomt-2824 | execution_time: 0.211128s | queueing_delay: 0.000746s
RAW_DATA | iomt-2127 | execution_time: 0.245807s | queueing_delay: 0.001216s
