epoch_s,name,response_time_ms,success
1776365623.667550,/collect,5249.74,1
1776365620.558357,/collect,12639.45,1
1776365619.949127,/collect,13552.74,1
1776365628.915505,/collect,6378.4,1
1776365628.948698,/collect,6362.8,1
1776365629.627037,/collect,6037.95,1
1776365620.541121,/collect,15188.64,1
1776365630.559389,/collect,5659.02,1
1776365629.092279,/collect,7713.73,1
1776365623.378511,/collect,15727.24,1
1776365630.363921,/collect,9352.26,1
1776365636.327644,/collect,4599.51,1
1776365636.537462,/collect,4887.43,1
1776365637.540205,/collect,5074.04,1
1776365640.170106,/collect,4637.78,1
1776365641.626665,/collect,3185.84,1
1776365646.115692,/collect,1603.39,1
1776365636.265978,/collect,16043.58,1
1776365636.709157,/collect,18025.4,1
1776365653.222480,/collect,1614.71,1
1776365634.424806,/collect,20867.32,1
1776365637.555290,/collect,17851.32,1
1776365634.094195,/collect,21338.71,1
1776365656.512709,/collect,1487.43,1
1776365640.612375,/collect,17671.36,1
1776365656.124638,/collect,2489.41,1
1776365656.839568,/collect,2444.22,1
1776365644.088820,/collect,15206.75,1
1776365655.831393,/collect,4448.76,1
1776365658.693822,/collect,1605.29,1
1776365642.401034,/collect,18615.23,1
1776365648.304429,/collect,12995.0,1
1776365645.639378,/collect,15970.32,1
1776365656.322627,/collect,5487.6,1
1776365659.316140,/collect,7473.47,1
1776365660.838292,/collect,6350.84,1
1776365659.903142,/collect,9578.99,1
1776365659.949800,/collect,9845.06,1
1776365659.861569,/collect,10118.34,1
1776365670.765649,/collect,1220.26,1
1776365661.673287,/collect,10809.73,1
1776365671.068954,/collect,1514.65,1
1776365662.706181,/collect,10483.91,1
1776365663.237701,/collect,10167.17,1
1776365662.313116,/collect,11375.75,1
1776365662.246246,/collect,11742.81,1
1776365668.304698,/collect,6695.02,1
1776365667.505089,/collect,7790.71,1
1776365673.849652,/collect,1550.8,1
1776365674.105710,/collect,2500.35,1
1776365674.471003,/collect,3408.98,1
1776365675.730750,/collect,2657.06,1
1776365670.652188,/collect,7826.21,1
1776365674.622273,/collect,4156.96,1
1776365676.108160,/collect,2784.47,1
1776365672.968490,/collect,6909.69,1
1776365678.004602,/collect,2068.57,1
1776365675.102329,/collect,5085.89,1
1776365673.367850,/collect,7408.59,1
1776365679.099701,/collect,2383.97,1
1776365676.537692,/collect,6850.97,1
1776365679.711381,/collect,3961.73,1
1776365680.563113,/collect,3115.62,1
1776365678.937115,/collect,5043.77,1
1776365679.733019,/collect,4443.71,1
1776365680.802247,/collect,3581.86,1
1776365681.958990,/collect,2859.2,1
1776365679.607746,/collect,6902.97,1
1776365684.982853,/collect,1899.04,1
1776365681.042900,/collect,5845.14,1
1776365684.512641,/collect,3013.8,1
1776365684.801983,/collect,2914.02,1
1776365687.708588,/collect,1185.15,1
1776365682.448602,/collect,6526.04,1
1776365684.483749,/collect,5518.46,1
1776365688.436647,/collect,2045.2,1
1776365688.880029,/collect,1903.04,1
1776365685.192742,/collect,7397.47,1
1776365685.597148,/collect,7001.1,1
1776365691.449679,/collect,1559.77,1
1776365685.085853,/collect,8132.58,1
1776365691.769231,/collect,1724.05,1
1776365687.610868,/collect,6999.4,1
1776365687.596136,/collect,7290.42,1
1776365693.721093,/collect,2072.35,1
1776365689.561776,/collect,6836.67,1
1776365689.828007,/collect,6972.22,1
