RAW_DATA | iomt-2824 | execution_time: 0.293778s | queueing_delay: 0.000595s
RAW_DATA | iomt-3647 | execution_time: 0.408122s | queueing_delay: 0.000634s
RAW_DATA | iomt-2127 | execution_time: 0.420946s | queueing_delay: 0.000638s
RAW_DATA | iomt-3546 | execution_time: 0.443912s | queueing_delay: 0.045995s
RAW_DATA | iomt-2824 | execution_time: 0.273081s | queueing_delay: 0.000727s
RAW_DATA | iomt-3546 | execution_time: 0.368278s | queueing_delay: 0.000815s
RAW_DATA | iomt-2127 | execution_time: 0.324220s | queueing_delay: 0.012145s
RAW_DATA | iomt-3647 | execution_time: 0.418377s | queueing_delay: 0.064966s
RAW_DATA | iomt-3546 | execution_time: 0.223882s | queueing_delay: 0.000844s
RAW_DATA | iomt-2824 | execution_time: 0.249442s | queueing_delay: 0.000657s
RAW_DATA | iomt-3647 | execution_time: 0.291619s | queueing_delay: 0.000711s
RAW_DATA | iomt-2127 | execution_time: 0.248632s | queueing_delay: 0.000667s
RAW_DATA | iomt-3546 | execution_time: 0.222840s | queueing_delay: 0.000610s
RAW_DATA | iomt-2824 | execution_time: 0.243337s | queueing_delay: 0.000779s
RAW_DATA | iomt-3647 | execution_time: 0.245223s | queueing_delay: 0.000767s
RAW_DATA | iomt-2127 | execution_time: 0.238770s | queueing_delay: 0.000642s
RAW_DATA | iomt-3546 | execution_time: 0.293115s | queueing_delay: 0.000769s
RAW_DATA | iomt-2824 | execution_time: 0.283688s | queueing_delay: 0.000682s
RAW_DATA | iomt-3647 | execution_time: 0.272023s | queueing_delay: 0.001001s
RAW_DATA | iomt-2127 | execution_time: 0.239719s | queueing_delay: 0.000631s
RAW_DATA | iomt-3546 | execution_time: 0.247609s | queueing_delay: 0.000877s
RAW_DATA | iomt-2824 | execution_time: 0.395445s | queueing_delay: 0.000766s
RAW_DATA | iomt-2127 | execution_time: 0.296268s | queueing_delay: 0.000733s
RAW_DATA | iomt-3647 | execution_time: 0.466797s | queueing_delay: 0.000913s
RAW_DATA | iomt-3546 | execution_time: 0.246015s | queueing_delay: 0.000579s
RAW_DATA | iomt-2824 | execution_time: 0.403538s | queueing_delay: 0.000738s
RAW_DATA | iomt-3647 | execution_time: 0.263024s | queueing_delay: 0.000685s
RAW_DATA | iomt-2127 | execution_time: 0.502148s | queueing_delay: 0.001040s
RAW_DATA | iomt-3647 | execution_time: 0.245860s | queueing_delay: 0.000700s
RAW_DATA | iomt-2824 | execution_time: 0.273089s | queueing_delay: 0.000747s
RAW_DATA | iomt-3546 | execution_time: 0.262255s | queueing_delay: 0.000755s
RAW_DATA | iomt-2127 | execution_time: 0.264062s | queueing_delay: 0.000965s
RAW_DATA | iomt-3546 | execution_time: 0.239149s | queueing_delay: 0.000628s
RAW_DATA | iomt-2824 | execution_time: 0.525166s | queueing_delay: 0.000660s
RAW_DATA | iomt-3647 | execution_time: 0.530699s | queueing_delay: 0.000700s
RAW_DATA | iomt-2127 | execution_time: 0.246681s | queueing_delay: 0.000744s
RAW_DATA | iomt-3546 | execution_time: 0.256188s | queueing_delay: 0.000613s
RAW_DATA | iomt-2824 | execution_time: 0.295560s | queueing_delay: 0.000757s
RAW_DATA | iomt-3647 | execution_time: 0.247231s | queueing_delay: 0.000688s
RAW_DATA | iomt-2127 | execution_time: 0.243210s | queueing_delay: 0.000598s
RAW_DATA | iomt-3647 | execution_time: 0.199287s | queueing_delay: 0.000566s
RAW_DATA | iomt-3546 | execution_time: 0.250441s | queueing_delay: 0.000781s
RAW_DATA | iomt-2824 | execution_time: 0.301276s | queueing_delay: 0.000636s
RAW_DATA | iomt-2127 | execution_time: 0.263562s | queueing_delay: 0.000966s
RAW_DATA | iomt-3647 | execution_time: 0.248574s | queueing_delay: 0.000791s
RAW_DATA | iomt-2824 | execution_time: 0.243570s | queueing_delay: 0.000743s
RAW_DATA | iomt-2127 | execution_time: 0.244923s | queueing_delay: 0.000683s
RAW_DATA | iomt-3546 | execution_time: 0.284171s | queueing_delay: 0.000734s
RAW_DATA | iomt-2824 | execution_time: 0.592998s | queueing_delay: 0.000751s
RAW_DATA | iomt-3647 | execution_time: 0.590905s | queueing_delay: 0.000559s
RAW_DATA | iomt-2127 | execution_time: 0.407707s | queueing_delay: 0.000675s
RAW_DATA | iomt-3546 | execution_time: 0.519168s | queueing_delay: 0.011245s
RAW_DATA | iomt-2824 | execution_time: 0.377042s | queueing_delay: 0.000976s
RAW_DATA | iomt-3647 | execution_time: 0.271677s | queueing_delay: 0.000770s
RAW_DATA | iomt-3546 | execution_time: 0.247458s | queueing_delay: 0.000787s
RAW_DATA | iomt-3647 | execution_time: 0.229402s | queueing_delay: 0.000645s
RAW_DATA | iomt-2127 | execution_time: 0.247422s | queueing_delay: 0.000757s
RAW_DATA | iomt-2824 | execution_time: 0.244635s | queueing_delay: 0.000606s
RAW_DATA | iomt-3546 | execution_time: 0.529468s | queueing_delay: 0.000789s
RAW_DATA | iomt-3647 | execution_time: 0.286557s | queueing_delay: 0.000811s
RAW_DATA | iomt-2127 | execution_time: 0.518564s | queueing_delay: 0.006547s
RAW_DATA | iomt-2824 | execution_time: 0.367735s | queueing_delay: 0.013223s
RAW_DATA | iomt-3647 | execution_time: 0.230663s | queueing_delay: 0.000729s
RAW_DATA | iomt-3546 | execution_time: 0.343096s | queueing_delay: 0.000772s
RAW_DATA | iomt-2127 | execution_time: 0.338592s | queueing_delay: 0.006127s
RAW_DATA | iomt-2824 | execution_time: 0.301014s | queueing_delay: 0.000715s
RAW_DATA | iomt-3647 | execution_time: 0.247650s | queueing_delay: 0.000614s
RAW_DATA | iomt-2127 | execution_time: 0.296158s | queueing_delay: 0.000653s
RAW_DATA | iomt-3546 | execution_time: 0.634777s | queueing_delay: 0.000812s
RAW_DATA | iomt-2824 | execution_time: 0.687322s | queueing_delay: 0.000835s
RAW_DATA | iomt-3647 | execution_time: 0.589688s | queueing_delay: 0.001051s
RAW_DATA | iomt-2824 | execution_time: 0.597154s | queueing_delay: 0.000697s
RAW_DATA | iomt-2127 | execution_time: 0.779948s | queueing_delay: 0.000664s
RAW_DATA | iomt-3546 | execution_time: 0.796546s | queueing_delay: 0.006631s
RAW_DATA | iomt-3647 | execution_time: 0.226608s | queueing_delay: 0.000738s
RAW_DATA | iomt-2127 | execution_time: 0.217634s | queueing_delay: 0.000742s
RAW_DATA | iomt-2824 | execution_time: 0.514684s | queueing_delay: 0.000706s
RAW_DATA | iomt-3647 | execution_time: 0.618299s | queueing_delay: 0.011814s
RAW_DATA | iomt-3546 | execution_time: 0.682741s | queueing_delay: 0.001085s
RAW_DATA | iomt-2127 | execution_time: 0.607013s | queueing_delay: 0.000625s
RAW_DATA | iomt-2824 | execution_time: 0.653281s | queueing_delay: 0.000697s
RAW_DATA | iomt-3647 | execution_time: 0.283670s | queueing_delay: 0.000798s
RAW_DATA | iomt-3546 | execution_time: 0.626702s | queueing_delay: 0.001312s
RAW_DATA | iomt-3647 | execution_time: 0.255792s | queueing_delay: 0.000745s
RAW_DATA | iomt-2824 | execution_time: 0.707724s | queueing_delay: 0.000788s
RAW_DATA | iomt-3546 | execution_time: 0.702742s | queueing_delay: 0.000942s
RAW_DATA | iomt-2127 | execution_time: 0.859593s | queueing_delay: 0.018725s
RAW_DATA | iomt-3647 | execution_time: 0.253413s | queueing_delay: 0.000793s
RAW_DATA | iomt-2824 | execution_time: 0.372059s | queueing_delay: 0.001039s
RAW_DATA | iomt-2127 | execution_time: 0.244041s | queueing_delay: 0.000784s
RAW_DATA | iomt-3546 | execution_time: 0.251294s | queueing_delay: 0.001387s
RAW_DATA | iomt-3647 | execution_time: 0.254701s | queueing_delay: 0.000761s
RAW_DATA | iomt-2127 | execution_time: 0.275353s | queueing_delay: 0.000627s
RAW_DATA | iomt-2127 | execution_time: 0.257941s | queueing_delay: 0.000670s
RAW_DATA | iomt-2824 | execution_time: 0.437510s | queueing_delay: 0.000741s
RAW_DATA | iomt-3546 | execution_time: 0.502357s | queueing_delay: 0.000926s
RAW_DATA | iomt-3647 | execution_time: 0.318788s | queueing_delay: 0.000899s
RAW_DATA | iomt-2127 | execution_time: 0.259521s | queueing_delay: 0.000778s
RAW_DATA | iomt-3647 | execution_time: 0.283294s | queueing_delay: 0.000859s
RAW_DATA | iomt-2824 | execution_time: 0.528592s | queueing_delay: 0.001039s
RAW_DATA | iomt-3546 | execution_time: 0.534981s | queueing_delay: 0.000819s
RAW_DATA | iomt-2127 | execution_time: 0.254052s | queueing_delay: 0.000762s
RAW_DATA | iomt-3546 | execution_time: 0.299668s | queueing_delay: 0.000628s
RAW_DATA | iomt-3647 | execution_time: 0.429694s | queueing_delay: 0.000713s
RAW_DATA | iomt-2824 | execution_time: 0.502434s | queueing_delay: 0.006667s
RAW_DATA | iomt-3546 | execution_time: 0.370885s | queueing_delay: 0.000790s
RAW_DATA | iomt-2127 | execution_time: 0.409629s | queueing_delay: 0.001694s
RAW_DATA | iomt-3647 | execution_time: 0.296160s | queueing_delay: 0.000899s
RAW_DATA | iomt-2824 | execution_time: 0.254503s | queueing_delay: 0.000797s
RAW_DATA | iomt-2127 | execution_time: 0.253612s | queueing_delay: 0.000603s
RAW_DATA | iomt-3546 | execution_time: 0.520029s | queueing_delay: 0.000713s
